starting,starting,starting,starting,starting,starting,starting,starting,starting,starting,starting,z,path,path,path,path,,,,,,,,,,,,,,
id,year,id_consob,founder_name_1,founder_name_2,founder_surname_1,founder_surname_2,familyowner_name_1,familyowner_name_2,familyowner_surname_1,familyowner_surname_2,z,azionariato_path,capitale_sociale_path,organi_sociali_path,part_ril_path,,,,,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10
ALERION CLEAN POWER SPA,2000,alerion,,,,,,,,,z,resources/html_files/2000/azionariato.html,resources/html_files/2000/capitale_sociale.html,resources/html_files/2000/organi_sociali.html,resources/html_files/2000/part_ril.html,,,,,,,,,,,,,,
ALERION CLEAN POWER SPA,2001,alerion,,,,,,,,,z,resources/html_files/2001/azionariato.html,resources/html_files/2001/capitale_sociale.html,resources/html_files/2001/organi_sociali.html,resources/html_files/2001/part_ril.html,,,,,,,,,,,,,,
