id_consob,date,year
AQUAFIL SPA,04.12.2017,2017
FILA - FABBRICA ITALIANA LAPIS EDAFFINI SPA,01.06.2015,2015
GUALA CLOSURES SPA,06.08.2018,2018
PHILOGEN SPA,03.03.2021,2021
